"","Geography","GEOID","Geographic Area Name","race_factor","!!Total:","!!Total:!!Male:","!!Total:!!Male:!!Under 5 years","!!Total:!!Male:!!5 to 9 years","!!Total:!!Male:!!10 to 14 years","!!Total:!!Male:!!15 to 17 years","!!Total:!!Male:!!18 and 19 years","!!Total:!!Male:!!20 years","!!Total:!!Male:!!21 years","!!Total:!!Male:!!22 to 24 years","!!Total:!!Male:!!25 to 29 years","!!Total:!!Male:!!30 to 34 years","!!Total:!!Male:!!35 to 39 years","!!Total:!!Male:!!40 to 44 years","!!Total:!!Male:!!45 to 49 years","!!Total:!!Male:!!50 to 54 years","!!Total:!!Male:!!55 to 59 years","!!Total:!!Male:!!60 and 61 years","!!Total:!!Male:!!62 to 64 years","!!Total:!!Male:!!65 and 66 years","!!Total:!!Male:!!67 to 69 years","!!Total:!!Male:!!70 to 74 years","!!Total:!!Male:!!75 to 79 years","!!Total:!!Male:!!80 to 84 years","!!Total:!!Male:!!85 years and over","!!Total:!!Female:","!!Total:!!Female:!!Under 5 years","!!Total:!!Female:!!5 to 9 years","!!Total:!!Female:!!10 to 14 years","!!Total:!!Female:!!15 to 17 years","!!Total:!!Female:!!18 and 19 years","!!Total:!!Female:!!20 years","!!Total:!!Female:!!21 years","!!Total:!!Female:!!22 to 24 years","!!Total:!!Female:!!25 to 29 years","!!Total:!!Female:!!30 to 34 years","!!Total:!!Female:!!35 to 39 years","!!Total:!!Female:!!40 to 44 years","!!Total:!!Female:!!45 to 49 years","!!Total:!!Female:!!50 to 54 years","!!Total:!!Female:!!55 to 59 years","!!Total:!!Female:!!60 and 61 years","!!Total:!!Female:!!62 to 64 years","!!Total:!!Female:!!65 and 66 years","!!Total:!!Female:!!67 to 69 years","!!Total:!!Female:!!70 to 74 years","!!Total:!!Female:!!75 to 79 years","!!Total:!!Female:!!80 to 84 years","!!Total:!!Female:!!85 years and over","...52","census_race"
"1","1500000",370370201031,"Block Group 1; Census Tract 201.03; Chatham County; North Carolina","Hispanic",110,51,8,5,4,5,0,6,2,2,3,5,1,1,1,2,0,1,0,0,0,3,1,0,1,59,7,3,4,11,2,2,0,1,1,2,5,7,1,4,1,1,4,0,2,1,0,0,0,NA,"Hispanic or Latino"
"2","1500000",370370201032,"Block Group 2; Census Tract 201.03; Chatham County; North Carolina","Hispanic",688,332,40,31,44,17,19,0,11,11,15,14,26,29,23,22,8,3,5,1,6,6,0,1,0,356,31,32,55,26,12,4,5,6,21,25,32,33,29,14,14,4,3,3,4,1,0,2,0,NA,"Hispanic or Latino"
"3","1500000",370370201033,"Block Group 3; Census Tract 201.03; Chatham County; North Carolina","Hispanic",401,208,26,25,26,22,7,1,2,5,12,16,7,17,13,8,5,0,6,0,2,4,3,0,1,193,22,12,28,12,12,2,0,5,10,21,19,19,13,5,1,0,5,1,1,3,1,1,0,NA,"Hispanic or Latino"
"4","1500000",370370201041,"Block Group 1; Census Tract 201.04; Chatham County; North Carolina","Hispanic",40,20,2,2,0,0,0,0,0,4,1,1,0,0,0,1,0,0,0,2,0,1,3,2,1,20,3,1,0,2,1,0,0,0,3,3,1,0,1,0,1,0,0,0,0,1,0,3,0,NA,"Hispanic or Latino"
"5","1500000",370370201042,"Block Group 2; Census Tract 201.04; Chatham County; North Carolina","Hispanic",33,12,0,0,2,2,3,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,21,1,2,3,0,4,0,0,0,0,0,2,0,1,4,1,0,0,0,2,0,0,1,0,NA,"Hispanic or Latino"
"6","1500000",370370201043,"Block Group 3; Census Tract 201.04; Chatham County; North Carolina","Hispanic",204,105,4,15,17,14,3,4,4,4,4,3,6,5,6,8,1,0,2,1,1,0,2,0,1,99,9,7,11,12,3,1,2,2,5,5,8,9,9,4,1,3,1,2,0,0,4,1,0,NA,"Hispanic or Latino"
"7","1500000",370370201044,"Block Group 4; Census Tract 201.04; Chatham County; North Carolina","Hispanic",126,56,4,6,1,8,5,1,3,3,1,3,4,5,2,2,3,0,1,1,1,2,0,0,0,70,8,4,5,3,1,1,2,0,1,4,14,10,9,1,4,0,1,0,1,1,0,0,0,NA,"Hispanic or Latino"
"8","1500000",370370201051,"Block Group 1; Census Tract 201.05; Chatham County; North Carolina","Hispanic",89,39,6,1,5,2,2,0,0,1,1,6,2,0,8,4,0,1,0,0,0,0,0,0,0,50,2,8,8,6,0,1,1,3,1,6,3,4,1,1,0,1,0,4,0,0,0,0,0,NA,"Hispanic or Latino"
"9","1500000",370370201052,"Block Group 2; Census Tract 201.05; Chatham County; North Carolina","Hispanic",62,29,0,2,4,2,0,1,0,0,6,4,1,3,1,2,1,0,1,0,1,0,0,0,0,33,1,2,1,0,2,1,2,5,2,8,4,3,0,1,0,0,0,0,0,1,0,0,0,NA,"Hispanic or Latino"
"10","1500000",370370201053,"Block Group 3; Census Tract 201.05; Chatham County; North Carolina","Hispanic",325,152,12,19,21,16,2,4,1,2,5,7,11,25,7,3,6,2,2,2,2,1,1,1,0,173,22,22,22,12,4,0,3,2,7,12,7,15,16,12,8,2,1,3,0,2,0,0,1,NA,"Hispanic or Latino"
"11","1500000",370370201071,"Block Group 1; Census Tract 201.07; Chatham County; North Carolina","Hispanic",57,34,1,7,5,3,1,0,0,0,2,3,1,1,3,5,1,0,0,1,0,0,0,0,0,23,1,2,2,2,1,0,0,2,2,1,1,5,0,1,2,1,0,0,0,0,0,0,0,NA,"Hispanic or Latino"
"12","1500000",370370201072,"Block Group 2; Census Tract 201.07; Chatham County; North Carolina","Hispanic",34,20,3,0,1,1,1,1,0,0,1,0,0,2,4,1,1,0,0,0,1,3,0,0,0,14,2,1,0,0,0,0,0,0,0,2,1,4,1,0,0,0,1,0,0,1,1,0,0,NA,"Hispanic or Latino"
"13","1500000",370370201073,"Block Group 3; Census Tract 201.07; Chatham County; North Carolina","Hispanic",43,17,4,2,5,1,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,26,2,2,2,1,0,2,0,0,0,2,3,6,2,3,1,0,0,0,0,0,0,0,0,NA,"Hispanic or Latino"
"14","1500000",370370201081,"Block Group 1; Census Tract 201.08; Chatham County; North Carolina","Hispanic",94,45,4,3,9,1,1,1,0,0,1,5,4,1,2,3,5,3,2,0,0,0,0,0,0,49,5,4,5,2,1,3,3,1,6,1,2,1,2,4,0,1,0,0,4,2,0,0,2,NA,"Hispanic or Latino"
"15","1500000",370370201082,"Block Group 2; Census Tract 201.08; Chatham County; North Carolina","Hispanic",48,30,1,5,3,4,2,2,2,0,1,2,0,1,2,3,0,1,0,0,0,1,0,0,0,18,0,0,2,3,1,1,0,0,4,0,0,0,1,2,0,0,1,0,1,1,0,0,1,NA,"Hispanic or Latino"
"16","1500000",370370202021,"Block Group 1; Census Tract 202.02; Chatham County; North Carolina","Hispanic",57,24,3,4,2,1,0,0,0,0,0,2,0,0,3,0,3,1,0,0,3,1,0,0,1,33,2,5,6,1,1,0,0,1,4,0,1,0,1,4,3,4,0,0,0,0,0,0,0,NA,"Hispanic or Latino"
"17","1500000",370370202031,"Block Group 1; Census Tract 202.03; Chatham County; North Carolina","Hispanic",74,34,0,7,10,4,0,0,1,0,2,1,0,0,3,3,2,0,0,0,0,1,0,0,0,40,4,4,3,3,2,1,0,0,1,6,4,4,3,3,0,0,0,0,0,1,0,0,1,NA,"Hispanic or Latino"
"18","1500000",370370202032,"Block Group 2; Census Tract 202.03; Chatham County; North Carolina","Hispanic",66,38,2,3,1,2,0,1,0,3,4,4,3,6,3,0,2,0,0,1,1,0,2,0,0,28,3,2,3,0,1,2,0,2,3,2,3,0,2,0,2,0,2,0,0,1,0,0,0,NA,"Hispanic or Latino"
"19","1500000",370370203001,"Block Group 1; Census Tract 203; Chatham County; North Carolina","Hispanic",156,86,15,10,10,4,3,0,0,5,7,5,8,7,9,3,0,0,0,0,0,0,0,0,0,70,3,6,7,3,3,3,1,3,8,5,5,6,2,5,6,1,1,0,0,0,2,0,0,NA,"Hispanic or Latino"
"20","1500000",370370203003,"Block Group 3; Census Tract 203; Chatham County; North Carolina","Hispanic",95,46,4,1,4,0,1,5,0,3,2,3,1,10,0,3,3,2,1,0,0,0,0,0,3,49,1,2,10,4,1,1,0,2,5,4,2,3,3,3,1,1,1,2,1,0,1,0,1,NA,"Hispanic or Latino"
"21","1500000",370370204011,"Block Group 1; Census Tract 204.01; Chatham County; North Carolina","Hispanic",586,304,26,27,38,21,10,3,4,7,25,24,20,21,34,13,4,5,5,5,3,5,3,1,0,282,20,35,28,20,7,3,1,13,28,21,25,11,29,12,10,3,1,1,6,4,4,0,0,NA,"Hispanic or Latino"
"22","1500000",370370204012,"Block Group 2; Census Tract 204.01; Chatham County; North Carolina","Hispanic",402,212,13,11,36,14,9,6,0,6,16,13,8,21,13,9,14,2,6,2,6,4,1,2,0,190,9,22,22,13,4,5,5,10,11,4,23,21,6,19,6,1,0,1,1,6,0,1,0,NA,"Hispanic or Latino"
"23","1500000",370370204013,"Block Group 3; Census Tract 204.01; Chatham County; North Carolina","Hispanic",671,335,24,36,46,24,14,13,4,15,12,18,25,33,21,17,15,3,5,2,0,8,0,0,0,336,22,37,35,25,20,10,5,9,16,21,26,35,32,13,14,2,6,1,0,1,2,2,2,NA,"Hispanic or Latino"
"24","1500000",370370204014,"Block Group 4; Census Tract 204.01; Chatham County; North Carolina","Hispanic",1057,500,35,69,54,31,13,14,3,24,35,45,41,46,40,19,13,5,3,1,4,0,4,0,1,557,48,66,57,39,26,11,5,16,31,42,47,44,46,26,10,8,4,12,8,3,4,0,4,NA,"Hispanic or Latino"
"25","1500000",370370204022,"Block Group 2; Census Tract 204.02; Chatham County; North Carolina","Hispanic",408,219,23,17,22,19,10,1,4,18,11,6,14,19,14,20,6,1,6,0,3,2,0,3,0,189,15,30,22,7,13,1,0,12,15,5,11,11,13,12,12,1,0,0,2,5,0,0,2,NA,"Hispanic or Latino"
"26","1500000",370370204023,"Block Group 3; Census Tract 204.02; Chatham County; North Carolina","Hispanic",332,172,20,9,22,23,5,6,1,13,11,9,12,11,10,6,8,2,1,2,0,1,0,0,0,160,11,23,31,15,5,1,1,9,3,5,9,13,5,8,5,2,0,4,1,7,0,0,2,NA,"Hispanic or Latino"
