"STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","GEOID","NAMELSAD","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","row_index","distance_m","STATION NAME","ST CALL","Station_ID"
"37","085","070100","3","370850701003","Block Group 3","G5030","S",4981228,49620,"+35.3089084","-078.6270154",8033,12181.8219065443,"HARNETT COUNTY AIRPORT","NC KHRJ","74693603712"
"37","085","070300","2","370850703002","Block Group 2","G5030","S",678057,0,"+35.3129688","-078.6106210",8033,13396.0976481743,"HARNETT COUNTY AIRPORT","NC KHRJ","74693603712"
"37","085","070200","1","370850702001","Block Group 1","G5030","S",15160694,243461,"+35.3246992","-078.5524608",8033,17219.6077526362,"HARNETT COUNTY AIRPORT","NC KHRJ","74693603712"
"37","183","053429","1","371830534291","Block Group 1","G5030","S",828994,0,"+35.7323360","-078.8549287",6926,18901.9795747847,"RALEIGH-DURHAM INTERNATIONAL","NC KRDU","72306013722"
"37","183","053432","1","371830534321","Block Group 1","G5030","S",17659472,0,"+35.6847767","-078.8531823",6926,23876.0472592987,"RALEIGH-DURHAM INTERNATIONAL","NC KRDU","72306013722"
"37","183","053435","1","371830534351","Block Group 1","G5030","S",3026312,0,"+35.7456823","-078.8308572",6926,16824.4443197184,"RALEIGH-DURHAM INTERNATIONAL","NC KRDU","72306013722"
"37","183","053430","2","371830534302","Block Group 2","G5030","S",833297,0,"+35.7464921","-078.8579313",6926,17542.6138961564,"RALEIGH-DURHAM INTERNATIONAL","NC KRDU","72306013722"
"37","183","054224","1","371830542241","Block Group 1","G5030","S",1726657,153734,"+35.9727758","-078.4909098",6599,15324.9705658373,"FRANKLIN COUNTY AIRPORT","NC KLHZ","72214103731"
"37","183","054223","1","371830542231","Block Group 1","G5030","S",1155436,0,"+35.9850775","-078.4944184",6599,15409.4557828369,"FRANKLIN COUNTY AIRPORT","NC KLHZ","72214103731"
"37","183","053434","3","371830534343","Block Group 3","G5030","S",1977747,0,"+35.7264554","-078.8657122",6926,19865.2834306364,"RALEIGH-DURHAM INTERNATIONAL","NC KRDU","72306013722"
"37","183","054224","2","371830542242","Block Group 2","G5030","S",777620,0,"+35.9791280","-078.5052408",6599,16533.0515052138,"FRANKLIN COUNTY AIRPORT","NC KLHZ","72214103731"
"37","183","053431","2","371830534312","Block Group 2","G5030","S",7192877,0,"+35.6983824","-078.8156343",6926,21696.9742830557,"RALEIGH-DURHAM INTERNATIONAL","NC KRDU","72306013722"
"37","183","053433","2","371830534332","Block Group 2","G5030","S",1563573,0,"+35.7315530","-078.8839543",6926,20045.7712337565,"RALEIGH-DURHAM INTERNATIONAL","NC KRDU","72306013722"
"37","183","054223","2","371830542232","Block Group 2","G5030","S",2610108,0,"+35.9911014","-078.4827345",6599,14217.4911587155,"FRANKLIN COUNTY AIRPORT","NC KLHZ","72214103731"
"37","183","053434","1","371830534341","Block Group 1","G5030","S",377272,0,"+35.7340426","-078.8746742",6926,19424.6942449198,"RALEIGH-DURHAM INTERNATIONAL","NC KRDU","72306013722"
"37","183","053427","1","371830534271","Block Group 1","G5030","S",6141708,31953,"+35.7367655","-078.9238840",6926,21513.1072686271,"RALEIGH-DURHAM INTERNATIONAL","NC KRDU","72306013722"
"37","183","053430","1","371830534301","Block Group 1","G5030","S",2669767,7082,"+35.7543190","-078.8658026",6926,17233.8479676425,"RALEIGH-DURHAM INTERNATIONAL","NC KRDU","72306013722"
"37","183","053434","2","371830534342","Block Group 2","G5030","S",410537,0,"+35.7341220","-078.8672541",6926,19137.0454149198,"RALEIGH-DURHAM INTERNATIONAL","NC KRDU","72306013722"
"37","183","053428","2","371830534282","Block Group 2","G5030","S",17598033,6424,"+35.7007290","-078.9236910",6652,20550.9384535286,"SANFORD-LEE COUNTY RGNL ARPT","NC KTTA","72220103723"
"37","183","053436","2","371830534362","Block Group 2","G5030","S",1504584,0,"+35.7339063","-078.8452478",6926,18027.6658480995,"RALEIGH-DURHAM INTERNATIONAL","NC KRDU","72306013722"
"37","183","054224","3","371830542243","Block Group 3","G5030","S",1592989,0,"+35.9705645","-078.5055774",6599,16866.6174965752,"FRANKLIN COUNTY AIRPORT","NC KLHZ","72214103731"
"37","183","053427","2","371830534272","Block Group 2","G5030","S",1487112,0,"+35.7368595","-078.9052166",6926,20501.5509921153,"RALEIGH-DURHAM INTERNATIONAL","NC KRDU","72306013722"
"37","183","053430","3","371830534303","Block Group 3","G5030","S",677343,0,"+35.7418192","-078.8602372",6926,18101.3785858657,"RALEIGH-DURHAM INTERNATIONAL","NC KRDU","72306013722"
"37","135","010804","2","371350108042","Block Group 2","G5030","S",37102989,353921,"+36.1975782","-079.1116717",6644,14592.4283230662,"PERSON COUNTY AIRPORT","NC KTDF","72219303722"
"37","135","010803","3","371350108033","Block Group 3","G5030","S",20788400,661814,"+36.1443424","-079.1498434",10550,19877.2002303078,"DURHAM 11 W","NC","99999903758"
"37","135","011001","2","371350110012","Block Group 2","G5030","S",4701027,69103,"+36.0934005","-079.0727894",10550,13558.8958178077,"DURHAM 11 W","NC","99999903758"
"37","135","011002","1","371350110021","Block Group 1","G5030","S",10745607,189800,"+36.0703506","-079.0744301",10550,10876.5026603902,"DURHAM 11 W","NC","99999903758"
"37","135","010904","3","371350109043","Block Group 3","G5030","S",14627867,191487,"+36.0693322","-079.0384607",10550,12197.5295361614,"DURHAM 11 W","NC","99999903758"
"37","135","010904","2","371350109042","Block Group 2","G5030","S",10197678,214665,"+36.0509841","-078.9972139",10550,12519.282970196,"DURHAM 11 W","NC","99999903758"
"37","135","010802","3","371350108023","Block Group 3","G5030","S",28863302,101188,"+36.1605793","-079.0839506",6644,16244.2039039233,"PERSON COUNTY AIRPORT","NC KTDF","72219303722"
"37","105","030704","2","371050307042","Block Group 2","G5030","S",70391478,657362,"+35.5569172","-079.1106252",6652,2080.45934996806,"SANFORD-LEE COUNTY RGNL ARPT","NC KTTA","72220103723"
"37","105","030703","1","371050307031","Block Group 1","G5030","S",38728876,874712,"+35.5863886","-079.1438828",6652,4614.60677929756,"SANFORD-LEE COUNTY RGNL ARPT","NC KTTA","72220103723"
"37","105","030704","1","371050307041","Block Group 1","G5030","S",7694592,213629,"+35.5344285","-079.1686979",6652,8166.17191627313,"SANFORD-LEE COUNTY RGNL ARPT","NC KTTA","72220103723"
"37","063","001801","3","370630018013","Block Group 3","G5030","S",6464902,1821762,"+36.0484559","-078.7914777",6926,17797.8545214292,"RALEIGH-DURHAM INTERNATIONAL","NC KRDU","72306013722"
"37","063","001708","4","370630017084","Block Group 4","G5030","S",3576476,162732,"+36.0686265","-078.8813769",6926,21592.5871770451,"RALEIGH-DURHAM INTERNATIONAL","NC KRDU","72306013722"
"37","063","002037","2","370630020372","Block Group 2","G5030","S",5587220,20203,"+35.8759021","-078.8446003",6926,6315.85449955133,"RALEIGH-DURHAM INTERNATIONAL","NC KRDU","72306013722"
